"mmsi","alb_cc","bet_cc","other_cc","swo_cc","yft_cc"
"412420794",0.572094866082895,0.223147224799716,0.0536341937089694,0.0869694452122173,0.0641542701962025
"412420795",0.42624180678956,0.322659460768443,0.0638882419380364,0.137116457317459,0.050094033186502
"412420796",0.609450726188304,0.15280367831216,0.0362620725468179,0.111781586222427,0.0897019367302909
"412420811",0.638854993888575,0.141499659446766,0.0453399169407218,0.0899626688238964,0.084342760900041
"412420812",0.658892344632788,0.126163924597872,0.0405166419249756,0.0696841666798659,0.104742922164498
"412420813",0.567669436608312,0.150143959507311,0.0489835799345934,0.12159152463149,0.111611499318294
"412420814",0.616702656166323,0.108427906321073,0.0710228969084106,0.110528011631492,0.0933185289727012
"412420817",0.398927041353924,0.165417157620964,0.0743899879301411,0.0187022273649658,0.342563585730005
"412420818",0.511269112803074,0.112495914400784,0.053480739965101,0.0113764360100608,0.311377796820981
"412420819",0.649306175615484,0.0964826342390311,0.0395694898864484,0.117262755200193,0.0973789450588436
"412420846",0.664740860717966,0.0489874957832454,0.0619979014775531,0.0139932658617361,0.210280476159499
"412420847",0.536939979293231,0.0642685400051363,0.152440276029641,0.0579381833368919,0.1884130213351
"412420848",0.601569742095265,0.0752870947036847,0.0799622568455464,0.0178458502063386,0.225335056149165
"412420849",0.514781759038434,0.100710449532512,0.0888458548948454,0.0206542168491728,0.275007719685036
"412420851",0.667637546189281,0.0741148903723096,0.052735053635992,0.0186469195359836,0.186865590266434
"412420852",0.662179050267154,0.0834898386214637,0.0626100935253719,0.0251003302588794,0.166620687327132
"412420863",0.689917921343734,0.0353648391400409,0.0853833789264843,0.0124017716280192,0.176932088961722
"412420864",0.630786095819836,0.14996422406961,0.0519532440030687,0.0442431889203716,0.123053247187114
"412420865",0.683842615428458,0.131348234272851,0.0383809396839334,0.0577289685644972,0.0886992420502601
"412420867",0.628374768890241,0.151023101174902,0.0520514570473454,0.0448387258632835,0.123711947024228
"412420875",0.445862112721685,0.120542884786709,0.0868960406986575,0.204867956260534,0.141831005532416
"412420876",0.0067155233065961,0.614370343917983,0.163536571495606,0.0906723872756074,0.124705174004208
"412420877",0.434760982664505,0.10486335038898,0.0939049801117555,0.199946996937089,0.166523689897671
"412420892",0.000711067474068735,0.559276865543512,0.108625479853599,0.0682534671228213,0.263133120005999
"412420893",0.000763806753301997,0.559937154826109,0.119595203404911,0.0765345084326445,0.243169326583033
