"mmsi","length","tonnage"
"431007296",19.93,54.1
"431680310",14.88,19
"431500180",52.69,501
"431008471",20.05,46.97
"431501831",18.9,19
"431602240",40.26,257.5
"431005411",15.72,15
"431008504",18.57,34.93
"432561000",30.21,149
"431002995",18.79,19
"431500220",16.59,19
"431006351",20.21,42.28
"431501731",19.43,19
"432987000",52.05,549.5
"431009289",22.42,62.66
"431009772",15.65,75.59
"431680770",14.95,14
"431010498",22.08,57.27
"431009916",22.84,78.89
"431501010",15.63,19
"431010939",19.25,36.84
"431600680",16.18,19
"431602029",16.76,19
"431099000",50.59,615.5
"431853000",58.41,620
"431000168",25.15,19
"431007183",21.5,70.77
"431501757",20.13,19
"431002693",19.83,19
"431009933",24.57,70.18
"431500950",14.95,19
"432907000",29.98,119
"431680219",18.45,19
"431869000",52.67,513
"431007026",23.46,75.32
"431004047",18.95,19
"431680129",14.97,19
"431008919",18.23,19
"431012188",21.66,82.91
"432896000",29.98,119
"431600620",16.46,19
"431007114",18.38,34.22
"432378000",23.5,75.53
"431382000",52.6,620
"431601590",17.3,19
"431600008",14.81,17
"431067000",48.84,520.54
"431602069",17.12,19
"431007038",20.15,44.9
"431002127",18.96,19
"431200570",16.3,19
"432971000",51.23,596.5
"432990000",50.59,546
"431001322",19.81,19
"431600710",16.26,19
"431500760",15.65,19
"431009115",21.52,40.14
"431011189",19.93,73.09
"431010288",20.94,46.91
"431053000",52.16,513.75
"431680780",12.84,12
"431702850",45.84,405.5
"432468000",52.2,585
"431007034",19.43,36.79
"432962000",52.36,549.5
"431601350",13.82,19
"431700030",49.2,379
"432405000",50,492.67
"431012107",18.23,37.07
"431600580",16.47,19
"431703710",50.95,494.5
"431600460",21.32,16
"431600760",29.51,89.37
"431009416",19.26,64.14
"431010191",19.06,46.54
"431007142",20.13,50.05
"431007838",20.55,76.19
"431012191",21.28,61.64
"431680790",15.62,18
"431377000",22,72
"431008546",17.54,36.2
"432984000",54.01,596.5
"431011789",19.05,68.82
"431009126",18.67,45.51
"431701720",53.27,379
"431703660",48.4,379
"431008609",19.46,53.01
"431680730",16.17,19
"431006558",22.12,18
"431005381",16.7,16
"431600660",26.97,70
"431008821",19.14,35.67
"431600975",14.94,18
"431007176",23.78,63.67
"431378000",51.26,617.5
"431600000",50,493.5
"431008975",22.04,44.23
"431680580",14.9,19
"431600275",41.86,286
"431008555",20.33,55.6
"431680460",16.58,19
"431984000",50,549.5
"431600140",16.85,19
"431010887",18.31,19
"431700140",32.56,119
"432776000",29.8,119
"431010321",21.32,39.72
"431680230",16.04,19
"431011762",18.3,19
"431500530",51.78,542
"431680380",14.93,19
"431301286",16.18,19
"431008781",14.28,29.81
"431501545",18.21,19
"431500730",14.96,19
"431603180",14.03,14
"431680150",14.99,19
"431010193",17.37,41.96
"431600300",14.92,19
"431010151",18.06,42.96
"431007802",26.03,19
"432918000",52.36,549.5
"431501762",18.92,19
"431507000",26.62,49
"431600210",21,19
"432914000",49.66,516.33
"432475000",52.34,549.5
"431700130",49.9,560.67
"431009348",22.53,51.16
"431702640",48.4,478
"431010492",21.18,47.58
"431008804",16,31.54
"431500330",16.76,19
"431601150",21.53,19
"431007193",20.43,45.08
"431044000",53.21,596.5
"431001079",18.95,19
"431601620",14.88,19
"431200190",54.73,514
"431004559",17.84,19
"431010243",17.16,42.88
"432936000",50.59,546
"431680480",16.98,19
"431600340",19.78,18
"431007104",17.13,38.86
"431601383",11.92,13
"431008778",17.25,35.25
"431009149",15.2,31.45
"431501689",19.5,19
"431009353",17.6,36.59
"431008617",22.82,48.45
"431601775",17.41,19
"431602340",15.98,19
"431010099",19.28,49.33
"431600330",14.38,19
"431008649",23.23,70.86
"431601224",16.58,19
"431680570",16.89,19
"431501260",19.03,19
"431007646",24.63,81.55
"431200520",50.59,514
"431500940",16.22,19
